WSJ1829:0	[Silicon Valley] :[/LOCATION] heaved a sigh of relief yesterday .

WSJ1829:1	Though details were sketchy in the aftermath of the violent earthquake that shook the high-tech corridor along with the rest of the [San Francisco Bay] :[/FACILITY] area , a spot check of computer makers turned up little , if any , potentially lingering damage to facilities or fabrication equipment .

WSJ1829:2	Analysts and corporate officials said they expected practically no long-term disruption in shipments from the [Valley] :[/LOCATION] of either hardware or software goods .

WSJ1829:3	[Intel Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Advanced Micro Devices Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [National Semiconductor Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] were all up and running yesterday , though many workers were forced to stay home because of damaged roadways ; others elected to take the day off .

WSJ1829:4	`` These systems are more rugged than many people would believe , '' said [Thomas Kurlak] :[/PERSON] , who tracks the computer industry for [Merrill Lynch Research] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1829:6	Other companies , including [International Business Machines Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Hewlett-Packard Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , completely idled their operations because of Tuesday evening 's temblor , which registered 6.9 on the Richter scale .

WSJ1829:7	Personnel spent the morning inspecting buildings for structural weaknesses , mopping up [water] :[/SUBSTANCE/FOOD,/SUBSTANCE] from broken pipes and clearing ceiling tiles and other debris from factory floors .

WSJ1829:8	Still , many were confident that `` in a day or two , everything should be back to normal , '' according to a spokeswoman for the [Semiconductor Industry Association] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , based in [Cupertino] :[/GPE,/GPE/CITY] .

WSJ1829:9	[IBM] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , for instance , said it anticipates returning to a normal work schedule by the weekend at its [San Jose] :[/GPE,/GPE/CITY] plant , which puts out disk drives for the [3090] :[/WORK_OF_ART,/WORK_OF_ART/BOOK] family of mainframes .

WSJ1829:10	A [Hewlett-Packard] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] spokeswoman said that , while `` things are a big mess , '' some 18,000 [Valley] :[/LOCATION] employees have been called back to work today .

WSJ1829:11	[Apple Computer] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] added that it was being `` cautiously optimistic , '' despite not yet closely eyeballing all of its 50 buildings in the region .

WSJ1829:12	Even the carefully calibrated machinery in its giant [Fremont] :[/GPE] plant , to the north of the [Valley] :[/LOCATION] , was believed to be undamaged .

WSJ1829:13	[Sun Microsystems Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Tandem Computers Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] also signaled that they should recover quickly .

WSJ1829:14	[Digital Equipment Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , with major facilities in [Santa Clara] :[/GPE,/GPE/CITY] , [Cupertino] :[/GPE,/GPE/CITY] , [Palo Alto] :[/GPE] and [Mountain View] :[/GPE] , said that all of its engineering and manufacturing sites had reported to corporate headquarters in [Maynard] :[/PERSON] , Mass . , Tuesday night .

WSJ1829:17	For example , a spokesman for [Advanced Micro Devices] :[/ORGANIZATION] said the [Sunnyvale] :[/GPE] chip maker is worried about blackouts .

WSJ1829:19	But , given what might have happened to the fragile parts that are at the heart of the microelectronics business , the bulk of [Valley] :[/LOCATION] companies seemed to be just about shouting hosannas .

WSJ1829:20	Several factors apparently spared the [Valley] :[/LOCATION] -- a sprawling suburban stretch from [San Jose] :[/GPE,/GPE/CITY] to [Palo Alto] :[/GPE] -- from the kind of impact felt in [San Francisco] :[/GPE,/GPE/CITY] , an hour 's drive north .

WSJ1829:22	Also , the soil in the [Valley] :[/LOCATION] is solid , unlike the landfill of [San Francisco] :[/GPE,/GPE/CITY] 's downtown [Marina District] :[/LOCATION] , which was hit with fires and vast destruction .

WSJ1829:25	[Intel] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said that over the past decade , it has installed computer sensors and shutoff valves , sensitive to the shake of an earthquake , in the pipes that snake through its plants .

WSJ1829:26	Like other large [Valley] :[/GPE,/GPE/CITY] companies , [Intel] :[/ORGANIZATION] also noted that it has factories in several parts of the nation , so that a breakdown at one location should n't leave customers in a total pinch .

WSJ1829:27	That 's certainly good news for such companies as [Compaq Computer Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Houston] :[/GPE,/GPE/CITY] , which has only a four-day supply of microprocessors from the [Valley] :[/GPE,/GPE/CITY] on hand because of a just-in-time manufacturing approach that limits the buildup of inventory .

WSJ1829:28	[Compaq] :[/ORGANIZATION] said it foresees no difficulties in obtaining parts in the immediate future .

WSJ1829:30	[Digital Equipment] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has set up disaster-recovery response centers in [Dallas] :[/GPE,/GPE/CITY] , [Atlanta] :[/GPE,/GPE/CITY] and [Colorado Springs] :[/GPE] , [Colo .] :[/GPE]

WSJ1829:31	These units were handling calls both from people in the [San Francisco] :[/GPE,/GPE/CITY] area and from computers themselves , which are set to dial [Digital] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] automatically when trouble arises .

WSJ1829:33	[Digital] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] also said it has dispatched teams of technicians to [California] :[/GPE,/GPE/STATE_PROVINCE] .

WSJ1829:34	Meanwhile , several other major installations around the [Valley] :[/LOCATION] -- [America] :[/LOCATION] 's center of high-tech -- said they , too , fared as well as could be expected .

WSJ1829:35	[Lawrence Livermore National Laboratory] , where the [Energy Department] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] tests and conducts research on nuclear weapons , had only `` superficial damage , '' a spokesman said .

WSJ1829:36	At [Lockheed Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's missiles and space systems group in [Sunnyvale] :[/GPE,/GPE/CITY] , about 40 miles south of [San Francisco] :[/GPE,/GPE/CITY] , workers were asked to head to work yesterday after it was realized that `` there were no show-stoppers '' in the 150-plus buildings on its one-square-mile campus .

WSJ1829:38	One of [Lockheed] :[/ORGANIZATION] 's most lucrative sectors -- accounting for more than half the aerospace company 's $ 10.59 billion in sales in 1988 -- the missiles and space group is the prime [Pentagon] :[/FACILITY] contractor on the [Trident II] :[/EVENT] ballistic missile .

WSJ1829:39	It also generates pieces of the missile shield called the [Strategic Defense Initiative] :[/ORGANIZATION] .

WSJ1829:40	Fortunately , the [Hubble Space Telescope] -- set to be launched on the shuttle next year in a search for distant solar systems and light emitted 14 billion years ago from the farthest reaches of the universe -- was moved from [Sunnyvale] :[/ORGANIZATION] to the [Kennedy Space Center] in [Florida] :[/GPE,/GPE/CITY] at the beginning of October .

WSJ1829:41	[John R. Wilke] :[/PERSON] contribued to this article .

WSJ1839:0	Rep. [Mary Rose Oakar] :[/PERSON] ( D. , [Ohio] :[/GPE,/GPE/STATE_PROVINCE] ) at last week 's hearings on irregularities in programs at the [Department of Housing and Urban Development] :[/FACILITY/BUILDING,/FACILITY] :

